Parts List (all prices in USD),,,,,
Total,$83.68,,,,
Ordering,Item,Quantity,Price,Remarks,Link
TRUE,5mm Thick EVA Foam,1.00,$3.06 ,,https://www.aliexpress.com/item/1005002621956105.html?spm=a2g0o.cart.0.0.543a38daYgT6gM&mp=1&pdp_npi=5%40dis%21SGD%21SGD%203.90%21SGD%203.90%21%21SGD%203.90%21%21%21%402140ed7717497053276484601e655c%2112000033456986500%21ct%21SG%216170289340%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
TRUE,Rasperry Pi Pico (With USB-C),1.00,$2.26 ,,https://www.aliexpress.com/item/1005003371056277.html?spm=a2g0o.cart.0.0.543a38daYgT6gM&mp=1&pdp_npi=5%40dis%21SGD%21SGD%202.88%21SGD%202.88%21%21SGD%202.88%21%21%21%402140ed7717497053844875545e655c%2112000035247643698%21ct%21SG%216170289340%21%211%210
TRUE,Micro-USB to USB-C cable (in case Pico doesn't fit),1.00,$1.96 ,,https://www.aliexpress.com/item/1005002361842974.html?spm=a2g0o.cart.0.0.543a38daYgT6gM&mp=1&pdp_npi=5%40dis%21SGD%21SGD%202.50%21SGD%202.50%21%21SGD%202.50%21%21%21%402140ed7717497053844875545e655c%2112000020315548878%21ct%21SG%216170289340%21%211%210
TRUE,Kailh Choc Red Pro Switches (v1),100.00,$46.16 ,"Ordering x2 (1 90 piece, 1x 10 piece)",https://www.aliexpress.com/item/1005006626760418.html?spm=a2g0o.cart.0.0.543a38daYgT6gM&mp=1&pdp_npi=5%40dis%21SGD%21SGD%207.53%21SGD%207.53%21%21SGD%207.53%21%21%21%402140ed7717497053844875545e655c%2112000037861664745%21ct%21SG%216170289340%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
TRUE,Schotky Diodes,100.00,$1.03 ,Sold in packs of 100,https://www.aliexpress.com/item/1005008067721732.html?spm=a2g0o.productlist.main.2.132c1a7d7UEIw6&algo_pvid=1902ab43-1f60-44f9-8e96-859126b85c81&algo_exp_id=1902ab43-1f60-44f9-8e96-859126b85c81-1&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21SGD%212.04%211.31%21%21%211.54%210.99%21%40213bd97f17497154054093248e9f7d%2112000043522784152%21sea%21SG%216170289340%21ABX&curPageLogUid=1khFvCQcRh9P&utparam-url=scene%3Asearch%7Cquery_from%3A
TRUE,Kailh Choc Hotswap Socket,100.00,$5.53 ,Sold in packs of 100,https://www.aliexpress.com/item/1005006625852715.html?spm=a2g0o.cart.0.0.4c9038dalerjxA&mp=1&pdp_npi=5%40dis%21SGD%21SGD%209.69%21SGD%207.05%21%21SGD%207.05%21%21%21%4021010c9a17497155330343802e4af9%2112000037858496852%21ct%21SG%216170289340%21%211%210
TRUE,Noir Keyboard Pro PCB from JLCPCB,5.00,$21.77 ,"Sold in packs of 5, with shipping + new customer discount coupon",NA
TRUE,128x32 OLED Screen,1.00,$1.91 ,White variant,https://www.aliexpress.com/item/1005006351390199.html?spm=a2g0o.productlist.main.24.256fe6deEDHIr2&algo_pvid=7d2e57db-ad30-407d-96d8-5d9838b66397&aem_p4p_detail=202506122136555457460653036720000750004&algo_exp_id=7d2e57db-ad30-407d-96d8-5d9838b66397-23&pdp_ext_f=%7B%22order%22%3A%22109%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21SGD%212.44%212.44%21%21%2113.26%2113.26%21%4021015c7617497894153955931ea2ab%2112000036858011577%21sea%21SG%216170289340%21ABX&curPageLogUid=J5ReLQEEctWA&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506122136555457460653036720000750004_6
2order%22%3A%22109%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21SGD%212.44%212.44%21%21%2113.26%2113.26%21%4021015c7617497894153955931ea2ab%2112000036858011577%21sea%21SG%216170289340%21ABX&curPageLogUid=J5ReLQEEctWA&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506122136555457460653036720000750004_6
TRUE,Female headers for screen and Raspberry Pi,2.00,$1.80,Ordering 2 (1x 10piece 1x20 (for the Pico),https://www.aliexpress.com/item/4001198421663.html?mp=1&pdp_npi=5%40dis%21SGD%21SGD%201.47%21SGD%201.47%21%21SGD%201.47%21%21%21%402101d9ee17538322534845912e4a42%2110000015275671657%21ct%21SG%216170289340%21%211%210,
